osmid,y,x,street_count,highway,geometry
5608705181,-7.3391026,112.7351184,2,,POINT (112.7351184 -7.3391026)
5608705182,-7.3395806,112.7348935,3,,POINT (112.7348935 -7.3395806)
5610611281,-7.334138,112.7382769,3,,POINT (112.7382769 -7.334138)
5610611282,-7.3341285,112.7382052,2,,POINT (112.7382052 -7.3341285)
5639045732,-7.3379268,112.7360603,2,,POINT (112.7360603 -7.3379268)
5639045733,-7.3363741,112.737673,2,,POINT (112.737673 -7.3363741)
5639045736,-7.3341568,112.7341172,2,,POINT (112.7341172 -7.3341568)
5639045737,-7.3341346,112.7340703,2,,POINT (112.7340703 -7.3341346)
5639045739,-7.3332459,112.7355523,2,,POINT (112.7355523 -7.3332459)
5639045740,-7.3332987,112.7355267,2,,POINT (112.7355267 -7.3332987)
5639045741,-7.332484,112.7366587,2,,POINT (112.7366587 -7.332484)
5651342559,-7.337472,112.7361351,2,,POINT (112.7361351 -7.337472)
6009697561,-7.3285808,112.7364952,2,,POINT (112.7364952 -7.3285808)
6709065836,-7.331195,112.7373762,2,,POINT (112.7373762 -7.331195)
6709065837,-7.3312096,112.7373601,2,,POINT (112.7373601 -7.3312096)
6709065838,-7.3312163,112.737342,2,,POINT (112.737342 -7.3312163)
6709065839,-7.331771,112.7369001,2,,POINT (112.7369001 -7.331771)
6709065840,-7.3318049,112.7369323,3,,POINT (112.7369323 -7.3318049)
6709065841,-7.3317896,112.7369115,2,,POINT (112.7369115 -7.3317896)
6709065842,-7.3317523,112.7368981,2,,POINT (112.7368981 -7.3317523)
6709065843,-7.3313826,112.7363536,2,,POINT (112.7363536 -7.3313826)
6709065844,-7.3313639,112.7361873,2,,POINT (112.7361873 -7.3313639)
